Year,Month,Day,Hour,OMI1,OMI2,OMI3
1979,1,1,0,0.16644,0.78762,0.80502
1979,1,2,0,0.02053,0.8654,0.86565
1979,1,3,0,-0.1586,0.93131,0.94472
1979,1,4,0,-0.36413,0.97588,1.0416
1979,1,5,0,-0.58587,0.99025,1.15058
1979,1,6,0,-0.81074,0.96774,1.26246
1979,1,7,0,-1.02402,0.90506,1.36666
1979,1,8,0,-1.21115,0.80275,1.45303
1979,1,9,0,-1.35956,0.66456,1.51328
1979,1,10,0,-1.45992,0.49628,1.54197
1979,1,11,0,-1.50681,0.30461,1.53729
1979,1,12,0,-1.49854,0.09638,1.50163
1979,1,13,0,-1.43685,-0.12166,1.44199
1979,1,14,0,-1.32635,-0.34275,1.36992
1979,1,15,0,-1.17397,-0.55994,1.30067
1979,1,16,0,-0.9885,-0.76609,1.25061
1979,1,17,0,-0.78005,-0.95391,1.23225
1979,1,18,0,-0.55962,-1.11642,1.24882
1979,1,19,0,-0.33858,-1.24741,1.29254
1979,1,20,0,-0.12811,-1.34213,1.34823
1979,1,21,0,0.06147,-1.39779,1.39914
1979,1,22,0,0.22139,-1.41386,1.43109
1979,1,23,0,0.34518,-1.39221,1.43437
1979,1,24,0,0.42915,-1.33685,1.40405
1979,1,25,0,0.47263,-1.25354,1.33968
1979,1,26,0,0.47793,-1.14933,1.24474
1979,1,27,0,0.44988,-1.03209,1.12587
1979,1,28,0,0.39523,-0.91009,0.99221
1979,1,29,0,0.32194,-0.79167,0.85462
1979,1,30,0,0.2385,-0.6848,0.72514
1979,1,31,0,0.15348,-0.59681,0.61622
1979,2,1,0,0.07535,-0.53384,0.53913
1979,2,2,0,0.01257,-0.50022,0.50038
1979,2,3,0,-0.02651,-0.49721,0.49792
1979,2,4,0,-0.03479,-0.52143,0.52259
1979,2,5,0,-0.00941,-0.56405,0.56413
1979,2,6,0,0.04552,-0.61321,0.61489
1979,2,7,0,0.12049,-0.65867,0.6696
1979,2,8,0,0.20508,-0.69406,0.72373
1979,2,9,0,0.29076,-0.71573,0.77253
1979,2,10,0,0.37124,-0.72103,0.81099
1979,2,11,0,0.44207,-0.70763,0.83437
1979,2,12,0,0.5006,-0.67344,0.83912
1979,2,13,0,0.54593,-0.61695,0.82381
1979,2,14,0,0.57894,-0.53758,0.79004
1979,2,15,0,0.60205,-0.4359,0.74328
1979,2,16,0,0.61876,-0.31373,0.69375
1979,2,17,0,0.63295,-0.17389,0.6564
1979,2,18,0,0.64791,-0.01972,0.64821
1979,2,19,0,0.66509,0.14589,0.6809
1979,2,20,0,0.68222,0.32182,0.75431
1979,2,21,0,0.69053,0.51015,0.85854
1979,2,22,0,0.67119,0.71572,0.9812
1979,2,23,0,0.59818,0.93731,1.11192
1979,2,24,0,0.46759,1.15195,1.24323
1979,2,25,0,0.32599,1.33051,1.36987
1979,2,26,0,0.2216,1.47144,1.48803
1979,2,27,0,0.1642,1.58628,1.59475
1979,2,28,0,0.14314,1.68146,1.68754
1979,3,1,0,0.20882,1.74825,1.76068
1979,3,2,0,0.23742,1.80336,1.81892
1979,3,3,0,0.26005,1.83972,1.85801
1979,3,4,0,0.26847,1.85779,1.87709
1979,3,5,0,0.25591,1.85839,1.87593
1979,3,6,0,0.21724,1.8423,1.85507
1979,3,7,0,0.14895,1.80975,1.81587
1979,3,8,0,0.04902,1.76001,1.7607
1979,3,9,0,-0.08337,1.69083,1.69289
1979,3,10,0,-0.24814,1.59776,1.61692
1979,3,11,0,-0.44457,1.47292,1.53855
1979,3,12,0,-0.67077,1.30239,1.46498
1979,3,13,0,-0.91971,1.06195,1.40485
1979,3,14,0,-1.16509,0.71633,1.36769
1979,3,15,0,-1.33884,0.25109,1.36218
1979,3,16,0,-1.36911,-0.26022,1.39362
1979,3,17,0,-1.27585,-0.71309,1.4616
1979,3,18,0,-1.12503,-1.08013,1.5596
1979,3,19,0,-0.9567,-1.3769,1.67665
1979,3,20,0,-0.78772,-1.61801,1.79958
1979,3,21,0,-0.62553,-1.80999,1.91503
1979,3,22,0,-0.47389,-1.95399,2.01064
1979,3,23,0,-0.33464,-2.04865,2.0758
1979,3,24,0,-0.20805,-2.09194,2.10226
1979,3,25,0,-0.09302,-2.08237,2.08445
1979,3,26,0,0.01264,-2.01982,2.01986
1979,3,27,0,0.11176,-1.90594,1.90921
1979,3,28,0,0.20721,-1.74428,1.75654
1979,3,29,0,0.30111,-1.54027,1.56942
1979,3,30,0,0.3941,-1.30086,1.35924
1979,3,31,0,0.48461,-1.03407,1.142
1979,4,1,0,0.56889,-0.74822,0.93993
1979,4,2,0,0.639,-0.45259,0.78304
1979,4,3,0,0.68542,-0.157,0.70317
1979,4,4,0,0.69821,0.12712,0.70968
1979,4,5,0,0.6703,0.38602,0.7735
1979,4,6,0,0.60143,0.60435,0.85262
1979,4,7,0,0.4997,0.76843,0.91662
1979,4,8,0,0.37832,0.87024,0.94891
1979,4,9,0,0.24987,0.90891,0.94263
1979,4,10,0,0.12247,0.88925,0.89764
1979,4,11,0,-0.00061,0.8193,0.81931
